person_code,dr_cnt,person_name,person_pic_url,path_mean,link_cnt,person_en,d
18948,8,조인성,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcontentshub%2Fsdb%2F18bfff63928fabf53e273f36f8d41fe36cd2a461773b063e86aef9939aa77b0c,2.05764224618817,147,iejib,4
2080169,1,우도환,http://img1.daumcdn.net/thumb/C216x216/?fname=https%3A%2F%2Fsearch1.daumcdn.net%2Fcontent%2Fsdb%2F5812FD6D0279AB0002,2.34492376348085,34,jgbaiac,3
542129,7,박지원,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F2229B84E553DF3432E378D,2.00855336556341,250,jcbcef,3
441829,7,남지현,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile126.uf.daum.net%2Fimage%2F2052EE3D4D1000E8321B2F,2.06229081442916,165,jcibee,3
536983,1,엑스크로스,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F2261BA4E56A7266427E6B5,2.23465972480476,66,dijgdf,4
19270,1,자두,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F253F8C4A55CBF6212022BF,2.38081071030123,28,ahcjb,4
1607789,1,뱀뱀,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcontentshub%2Fsdb%2Fa049893f06b98613cedb6c3aba79c502a94e1df6e835a0e33d7d2a7d134ffae8,2.41930085533656,36,jihhagb,4
386784,1,티아라,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F2149D64A592FBF7A0F8F51,2.3475269616958,33,eihgid,4
18337,8,김강우,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile169.uf.daum.net%2Fimage%2F234C3C37AA90B7EE168414,2.06322052807735,151,hddib,3
19383,10,사강,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile169.uf.daum.net%2Fimage%2F2640044E5678E0830755D8,2.07493492004463,132,didjb,3
20440,9,이선진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile28.uf.daum.net%2Fimage%2F19257B274A2762652B19F3,2.07363332093715,143,aeeac,3
18603,10,임하룡,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F2330964556B309150E065B,2.0198958720714,207,dagib,3
16563,1,쑨 페이페이,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1256880C49922F9361BE41,2.44905169207884,19,dgfgb,4
1296782,6,이미지,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile169.uf.daum.net%2Fimage%2F180D38355091BBBE37D91D,2.05875790256601,173,cihgjcb,3
17908,6,김혜자,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F1456A60C49925D0CB6DC9F,2.10171067311268,119,iajhb,4
44989,2,차유람,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F22150046572856F50B9C45,2.47768687244329,31,jijee,4
1901447,1,로운,http://img1.daumcdn.net/thumb/C216x216/?fname=https%3A%2F%2Fsearch1.daumcdn.net%2Fcontent%2Fsdb%2F56D92BDB051F7D0001,2.71383413908516,20,heebajb,4
915767,1,송빛나,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile130.uf.daum.net%2Fimage%2F181150494D9BE8D0453C80,2.33451097062105,40,hghfbj,3
17742,6,정운택,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1102F11449A35992400474,2.10598735589438,117,cehhb,3
78891,5,정민진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F24084E46561F2BA9016322,2.12606917069543,110,bjiih,3
761608,5,김추월,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F2455C93D53B4F57D1D2EE1,2.05262179248791,153,iagbgh,3
180907,2,주희중,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F232F584255FB5D1E04A52F,2.14503532911863,81,hajaib,4
1745768,6,지이수,http://img1.daumcdn.net/thumb/C216x216/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fec1280fa471a8b38fecb7b3217f70557216b1858,2.04871699516549,184,ighfehb,3
2112653,7,김주영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcontentshub%2Fsdb%2F0b4da1c1ce01f38116f3315b6f18600adfd0762863d9ca335f6def4d8ff56ef9,2.07772406098922,166,dfgcbbc,3
688226,1,이윤정,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile129.uf.daum.net%2Fimage%2F23166C3954A2396B2D1BE9,2.52789140944589,19,gcciig,4
851893,7,김용운,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile170.uf.daum.net%2Fimage%2F26288A34572168E11BE7C9,2.01599107474898,229,djibfi,4
25898,3,홍진희,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile30.uf.daum.net%2Fimage%2F135FF602497FE685320276,2.18389735961324,76,ijifc,3
465856,6,유재훈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F276C1A335689D5121E2172,2.09631833395314,129,gfifge,3
1527959,13,현철호,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile168.uf.daum.net%2Fimage%2F255DB54F51C268F90375CF,1.96578653774637,369,jfjhcfb,3
1434450,1,김은오,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F2218F5495599DCD509CE50,2.36258832279658,28,afeedeb,4
21606,2,문성근,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile12.uf.daum.net%2Fimage%2F014A510148E0679E0FD0CA,2.21773893640759,72,gagbc,4
1586559,1,고다연,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile68.uf.daum.net%2Fimage%2F217FD24957F317961381C9,2.33246560059502,34,jffgifb,4
685128,3,구본임,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F120E67054CEDE32031618D,2.21364819635552,71,icbfig,3
30313,1,염승현,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile128.uf.daum.net%2Fimage%2F123CC703496413D24CD454,2.6950539233916,13,dbdad,4
19430,15,최강희,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F214731405768A7CB0F7F45,2.00650799553737,230,adejb,3
202747,17,남다름,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F2407174759530F39160374,1.91409445890666,538,hehcac,3
687974,1,박주환,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F16457B494D12A5D218C727,2.16418743027148,78,ehjhig,4
1247066,3,이강준,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcontentshub%2Fsdb%2F5cc07073d4aa66e885ab567e147e16f46db49f0932742f6a31b8a70f21ac4913,2.14763852733358,92,ggahecb,3
69098,14,최원홍,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F176B470D49C0731F999434,1.95091111937523,396,ijajg,3
64697,1,선욱현,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile126.uf.daum.net%2Fimage%2F20794F374DAE5BDE2E679C,2.34064708069914,37,hjgeg,4
537948,1,정채경,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F1872F9194BF1EF01D07AE7,2.53718854592785,12,iejhdf,4
795418,1,이준용,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1561FD134A14EAEAA48A5A,2.50446262551134,40,ibefjh,4
707733,1,조영관,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F2151.gif,2.79806619561175,6,ddhhah,4
543652,1,공수혁,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F17620D274CAE6DF372B9BD,2.32316846411305,36,cfgdef,4
